 2500 11524
 1 1 1.000000000000000
 2 2 1.000000000000000
 3 3 1.000000000000000
 4 4 1.000000000000000
 5 5 1.000000000000000
 6 6 1.000000000000000
 7 7 1.000000000000000
 8 8 1.000000000000000
 9 9 1.000000000000000
 10 10 1.000000000000000
 11 11 1.000000000000000
 12 12 1.000000000000000
 13 13 1.000000000000000
 14 14 1.000000000000000
 15 15 1.000000000000000
 16 16 1.000000000000000
 17 17 1.000000000000000
 18 18 1.000000000000000
 19 19 1.000000000000000
 20 20 1.000000000000000
 21 21 1.000000000000000
 22 22 1.000000000000000
 23 23 1.000000000000000
 24 24 1.000000000000000
 25 25 1.000000000000000
 26 26 1.000000000000000
 27 27 1.000000000000000
 28 28 1.000000000000000
 29 29 1.000000000000000
 30 30 1.000000000000000
 31 31 1.000000000000000
 32 32 1.000000000000000
 33 33 1.000000000000000
 34 34 1.000000000000000
 35 35 1.000000000000000
 36 36 1.000000000000000
 37 37 1.000000000000000
 38 38 1.000000000000000
 39 39 1.000000000000000
 40 40 1.000000000000000
 41 41 1.000000000000000
 42 42 1.000000000000000
 43 43 1.000000000000000
 44 44 1.000000000000000
 45 45 1.000000000000000
 46 46 1.000000000000000
 47 47 1.000000000000000
 48 48 1.000000000000000
 49 49 1.000000000000000
 50 50 1.000000000000000
 51 51 1.000000000000000
 52 52 9604.000000000000
 52 53 -2401.000000000000
 52 102 -2401.000000000000
 53 52 -2401.000000000000
 53 53 9604.000000000000
 53 54 -2401.000000000000
 53 103 -2401.000000000000
 54 53 -2401.000000000000
 54 54 9604.000000000000
 54 55 -2401.000000000000
 54 104 -2401.000000000000
 55 54 -2401.000000000000
 55 55 9604.000000000000
 55 56 -2401.000000000000
 55 105 -2401.000000000000
 56 55 -2401.000000000000
 56 56 9604.000000000000
 56 57 -2401.000000000000
 56 106 -2401.000000000000
 57 56 -2401.000000000000
 57 57 9604.000000000000
 57 58 -2401.000000000000
 57 107 -2401.000000000000
 58 57 -2401.000000000000
 58 58 9604.000000000000
 58 59 -2401.000000000000
 58 108 -2401.000000000000
 59 58 -2401.000000000000
 59 59 9604.000000000000
 59 60 -2401.000000000000
 59 109 -2401.000000000000
 60 59 -2401.000000000000
 60 60 9604.000000000000
 60 61 -2401.000000000000
 60 110 -2401.000000000000
 61 60 -2401.000000000000
 61 61 9604.000000000000
 61 62 -2401.000000000000
 61 111 -2401.000000000000
 62 61 -2401.000000000000
 62 62 9604.000000000000
 62 63 -2401.000000000000
 62 112 -2401.000000000000
 63 62 -2401.000000000000
 63 63 9604.000000000000
 63 64 -2401.000000000000
 63 113 -2401.000000000000
 64 63 -2401.000000000000
 64 64 9604.000000000000
 64 65 -2401.000000000000
 64 114 -2401.000000000000
 65 64 -2401.000000000000
 65 65 9604.000000000000
 65 66 -2401.000000000000
 65 115 -2401.000000000000
 66 65 -2401.000000000000
 66 66 9604.000000000000
 66 67 -2401.000000000000
 66 116 -2401.000000000000
 67 66 -2401.000000000000
 67 67 9604.000000000000
 67 68 -2401.000000000000
 67 117 -2401.000000000000
 68 67 -2401.000000000000
 68 68 9604.000000000000
 68 69 -2401.000000000000
 68 118 -2401.000000000000
 69 68 -2401.000000000000
 69 69 9604.000000000000
 69 70 -2401.000000000000
 69 119 -2401.000000000000
 70 69 -2401.000000000000
 70 70 9604.000000000000
 70 71 -2401.000000000000
 70 120 -2401.000000000000
 71 70 -2401.000000000000
 71 71 9604.000000000000
 71 72 -2401.000000000000
 71 121 -2401.000000000000
 72 71 -2401.000000000000
 72 72 9604.000000000000
 72 73 -2401.000000000000
 72 122 -2401.000000000000
 73 72 -2401.000000000000
 73 73 9604.000000000000
 73 74 -2401.000000000000
 73 123 -2401.000000000000
 74 73 -2401.000000000000
 74 74 9604.000000000000
 74 75 -2401.000000000000
 74 124 -2401.000000000000
 75 74 -2401.000000000000
 75 75 9604.000000000000
 75 76 -2401.000000000000
 75 125 -2401.000000000000
 76 75 -2401.000000000000
 76 76 9604.000000000000
 76 77 -2401.000000000000
 76 126 -2401.000000000000
 77 76 -2401.000000000000
 77 77 9604.000000000000
 77 78 -2401.000000000000
 77 127 -2401.000000000000
 78 77 -2401.000000000000
 78 78 9604.000000000000
 78 79 -2401.000000000000
 78 128 -2401.000000000000
 79 78 -2401.000000000000
 79 79 9604.000000000000
 79 80 -2401.000000000000
 79 129 -2401.000000000000
 80 79 -2401.000000000000
 80 80 9604.000000000000
 80 81 -2401.000000000000
 80 130 -2401.000000000000
 81 80 -2401.000000000000
 81 81 9604.000000000000
 81 82 -2401.000000000000
 81 131 -2401.000000000000
 82 81 -2401.000000000000
 82 82 9604.000000000000
 82 83 -2401.000000000000
 82 132 -2401.000000000000
 83 82 -2401.000000000000
 83 83 9604.000000000000
 83 84 -2401.000000000000
 83 133 -2401.000000000000
 84 83 -2401.000000000000
 84 84 9604.000000000000
 84 85 -2401.000000000000
 84 134 -2401.000000000000
 85 84 -2401.000000000000
 85 85 9604.000000000000
 85 86 -2401.000000000000
 85 135 -2401.000000000000
 86 85 -2401.000000000000
 86 86 9604.000000000000
 86 87 -2401.000000000000
 86 136 -2401.000000000000
 87 86 -2401.000000000000
 87 87 9604.000000000000
 87 88 -2401.000000000000
 87 137 -2401.000000000000
 88 87 -2401.000000000000
 88 88 9604.000000000000
 88 89 -2401.000000000000
 88 138 -2401.000000000000
 89 88 -2401.000000000000
 89 89 9604.000000000000
 89 90 -2401.000000000000
 89 139 -2401.000000000000
 90 89 -2401.000000000000
 90 90 9604.000000000000
 90 91 -2401.000000000000
 90 140 -2401.000000000000
 91 90 -2401.000000000000
 91 91 9604.000000000000
 91 92 -2401.000000000000
 91 141 -2401.000000000000
 92 91 -2401.000000000000
 92 92 9604.000000000000
 92 93 -2401.000000000000
 92 142 -2401.000000000000
 93 92 -2401.000000000000
 93 93 9604.000000000000
 93 94 -2401.000000000000
 93 143 -2401.000000000000
 94 93 -2401.000000000000
 94 94 9604.000000000000
 94 95 -2401.000000000000
 94 144 -2401.000000000000
 95 94 -2401.000000000000
 95 95 9604.000000000000
 95 96 -2401.000000000000
 95 145 -2401.000000000000
 96 95 -2401.000000000000
 96 96 9604.000000000000
 96 97 -2401.000000000000
 96 146 -2401.000000000000
 97 96 -2401.000000000000
 97 97 9604.000000000000
 97 98 -2401.000000000000
 97 147 -2401.000000000000
 98 97 -2401.000000000000
 98 98 9604.000000000000
 98 99 -2401.000000000000
 98 148 -2401.000000000000
 99 98 -2401.000000000000
 99 99 9604.000000000000
 99 149 -2401.000000000000
 100 100 1.000000000000000
 101 101 1.000000000000000
 102 52 -2401.000000000000
 102 102 9604.000000000000
 102 103 -2401.000000000000
 102 152 -2401.000000000000
 103 53 -2401.000000000000
 103 102 -2401.000000000000
 103 103 9604.000000000000
 103 104 -2401.000000000000
 103 153 -2401.000000000000
 104 54 -2401.000000000000
 104 103 -2401.000000000000
 104 104 9604.000000000000
 104 105 -2401.000000000000
 104 154 -2401.000000000000
 105 55 -2401.000000000000
 105 104 -2401.000000000000
 105 105 9604.000000000000
 105 106 -2401.000000000000
 105 155 -2401.000000000000
 106 56 -2401.000000000000
 106 105 -2401.000000000000
 106 106 9604.000000000000
 106 107 -2401.000000000000
 106 156 -2401.000000000000
 107 57 -2401.000000000000
 107 106 -2401.000000000000
 107 107 9604.000000000000
 107 108 -2401.000000000000
 107 157 -2401.000000000000
 108 58 -2401.000000000000
 108 107 -2401.000000000000
 108 108 9604.000000000000
 108 109 -2401.000000000000
 108 158 -2401.000000000000
